Date,Country,Activity,Sex ,Age,Fatal (Y/N),Hemisphere
28-Apr-1976,USA,,,,,northern
12-Mar-1976,USA,Standing,M,21 or 26,N,northern
08-Jan-1976,USA,Spearfishing / scuba diving,M,25,N,northern
06-Dec-1975,USA,Scuba diving & spearfishing,M,27,N,northern
02-Nov-1975,USA,Surfing,M,18,N,northern
21-Oct-1975,USA,Surf fishing,M,,,northern
04-Oct-1975,USA,Surfing,,,,northern
12-Aug-1975,USA,Floating on a small orange raft ,M,20,N,northern
09-Aug-1975,USA,Free diving for abalone,M,44,N,northern
30-Jul-1975,USA,Sea disaster,F,62,Y,northern
26-Jul-1975,USA,Free diving,M,24,N,northern
23-Jul-1975,USA,Scuba diving for abalone (at surface),M,23,N,northern
19-Jul-1975,USA,Hookah diving for abalone,M,34,N,northern
15-Jul-1975,USA,Swimming,F,14,N,northern
04-Jul-1975,USA,Surfing,M,16,N,northern
23-Jun-1975,USA,Swimming ,M,18,N,northern
23-Jun-1975,USA,Standing,F,15,N,northern
15-Jun-1975,USA,Swimming near his boat,M,27,N,northern
02-Jun-1975,USA,Surfing,M,20,N,northern
25-May-1975,USA,Surfing,M,17,N,northern
16-Mar-1975,USA,Floating in inner tube,M,14,N,northern
01-Nov-1974,USA,Standing,M,24,N,northern
28-Sep-1974,USA,Surfing,M,17,N,northern
14-Sep-1974,USA,Hookah diving for abalone,M,29,N,northern
02-Sep-1974,USA,Scuba diving (but on surface),M,41,N,northern
02-Sep-1974,USA,Scuba diving (but on surface),M,48,N,northern
05-Aug-1974,USA,Surfing,M,,N,northern
26-Jul-1974,USA,Free diving for abalone (submerged),M,36,N,northern
20-Jul-1974,USA,Swimming,M,17,Y,northern
02-Jul-1974,USA,Adrift after the sinking of the motor yacht Princess Dianne,M,10,Y,northern
20-Jun-1974,USA,Swimming,F,61,N,northern
26-May-1974,USA,Free diving (but on surface),M,45,N,northern
12-Apr-1974,USA,Swimming,F,11,N,northern
18-Dec-1973,USA,Swimming,M,,N,northern
24-Nov-1973,USA,Surfing,M,13,N,northern
16-Aug-1973,USA,Crabbing (spearing crabs),M,17,N,northern
09-Jan-1973,USA,Surfing,M,,N,northern
14-Oct-1972,USA,Scuba diving,M,,Y,northern
14-Oct-1972,USA,Surfing,M,17,N,northern
09-Sep-1972,USA,Surfing,M,,N,northern
29-Aug-1972,USA,Surfing,M,15,N,northern
17-Aug-1972,USA,Spearfishing,M,,N,northern
05-Jul-1972,USA,Diving,,,,northern
10-Jun-1972,USA,Surfing,M,22,N,northern
28-May-1972,USA,Free diving for abalone,M,32,N,northern
16-Mar-1972,USA,Spearfishing,M,,N,northern
23-Oct-1971,USA,Surfing,M,18,N,northern
02-Oct-1971,USA,Scuba diving,M,30,N,northern
25-Sep-1971,USA,Surfing,,17,N,northern
26-Jul-1971,USA,Wading,M,8,N,northern
19-Jul-1971,USA,Hookah diving (submerged),M,,N,northern
03-Dec-1970,USA,Shipwreck,M,41,N,northern
24-Oct-1970,USA,Body surfing,M,,N,northern
05-Sep-1970,USA,Floating on a raft,M,18,N,northern
22-Jun-1970,USA,Fishing,M,13,N,northern
31-Mar-1970,USA,Body surfing,M,,,northern
23-Mar-1970,USA,Wading,M,19,N,northern
11-Nov-1969,USA,Scuba diving for lobsters,M,,N,northern
14-Oct-1969,USA,Diving,M,,N,northern
06-Sep-1969,USA,Free diving for abalone,M,53,N,northern
29-Aug-1969,USA,Floating on his back,M,,N,northern
22-Aug-1969,USA,Fishing,M,28,N,northern
02-Aug-1969,USA,Surfing,M,15,N,northern
02-Aug-1969,USA,Body surfing,M,13,N,northern
22-Jul-1969,USA,,M,13,N,northern
20-Jul-1969,USA,Freediving for abalone (at surface),M,,N,northern
27-Jun-1969,USA,Wading,M,22,UNKNOWN,northern
25-May-1969,USA,Surf-fishing,M,,N,northern
24-May-1969,USA,Diving,M,23,N,northern
19-Aug-1969,USA,Fishing,M,adult,N,northern
09-Mar-1969,USA,Surfing,M,16,N,northern
13-Oct-1968,USA,Spearfishing using Scuba,M,,N,northern
22-Sep-1968,USA,Surfing,,,,northern
24-Aug-1968,USA,Playing with a frisbee in the shallows,,9 & 12,N,northern
21-Aug-1968,USA,Standing,M,15,N,northern
27-Jul-1968,USA,Free diving,M,25,N,northern
23-Jul-1968,USA,Wading,M,33,N,northern
16-Jul-1968,USA,Spearfishing using Scuba,M,33,N,northern
09-Jun-1968,USA,Clamming,M,17,N,northern
29-Apr-1968,USA,Wading,M,63,,northern
20-Apr-1968,USA,,M,10,N,northern
10-Mar-1968,USA,Surfing,M,20,N,northern
26-Feb-1968,USA,Surfing,M,17,N,northern
14-Dec-1967,USA,,M,,N,northern
17-Oct-1967,USA,Standing on sandbar,M,19,N,northern
20-Sep-1967,USA,Boat capsized between O'ahu & Molokai,M,,,northern
07-Sep-1967,USA,Spearfishing,,,N,northern
27-Aug-1967,USA,Pulling shark from the water,M,24,N,northern
07-Aug-1967,USA,Spearfishing,M,15,N,northern
29-Jul-1967,USA,Snorkeling,M,20,N,northern
13-Jun-1967,USA,Spearfishing,M,26,N,northern
19-Sep-1966,USA,Fishing,M,20,N,northern
8-Sep-1966,USA,Hunting crayfish ,M,14,N,northern
31-Jul-1966,USA,Diving for sand dollars,M,16,N,northern
19-Jul-1966,USA,Killing a shark,M,34,N,northern
17-Jul-1966,USA,Fishing,M,14,N,northern
03-Jul-1966,USA,Free diving,M,46,,northern
22-Jun-1966,USA,Clamming,M,15,N,northern
11-Jun-1966,USA,Fishing,M,18,N,northern
04-Jun-1966,USA,Swimming,M,18,N,northern
16-May-1966,USA,Spearfishing / Scuba diving,M,24,,northern
08-Apr-1966,USA,Swimming,M,25,N,northern
22-Jan-1966,USA,Free diving / spearfishing (resting on the surface),M,29,N,northern
05-Jan-1966,USA,Swimming,M,35,N,northern
26-Aug-1965,USA,Swimming,M,15,N,northern
19-Jun-1965,USA,Wading,M,6,,northern
18-Jun-1965,USA,"Diving, retrieving film package from Titan 3C rocket",M,,,northern
29-Apr-1965,USA,,M,49,N,northern
25-Apr-1965,USA,Surfing,M,19,,northern
10-Apr-1965,USA,Spearfishing,M,28,N,northern
04-Apr-1965,USA,Paddling on surfboard,M,17,N,northern
23-Mar-1965,USA,Aircraft exploded,M,,,northern
14-Mar-1965,USA,Free diving,M,16,N,northern
04-Feb-1965,USA,Scuba diving,M,18,N,northern
25-Jan-1965,USA,Motor boat Rebel Belle lost,M,21,,northern
05-Nov-1964,USA,Longline fishing,,,N,northern
25-Oct-1964,USA,Boat Miss Becky  sank 12 miles from shore,,,,northern
26-Aug-1964,USA,Swimming,M,14,N,northern
22-Aug-1964,USA,Spearfishing / free diving,M,18,,northern
21-Aug-1964,USA,Swimming,M,,N,northern
08-Aug-1964,USA,Spearfishing using scuba,M,28,N,northern
27-Jul-1964,USA,,M,22,N,northern
15-Jul-1964,USA,"Yacht Gooney Bird foundered, 4 survivors on raft",,,,northern
08-Jul-1964,USA,Tagging sharks,M,,N,northern
28-Jun-1964,USA,Attempting to swim across the Atlantic Ocean,F,29,,northern
24-Jun-1964,USA,Fishing,,,N,northern
05-Mar-1964,USA,Skin diving ,M,38,N,northern
11-Jan-1964,USA,Spearfishing / Scuba diving (at surface),M,21,N,northern
12-Nov-1963,USA,Testing anti-shark cage,M,,N,northern
16-Oct-1963,USA,"Surf fishing, wading ",M,28,N,northern
26-Sep-1963,USA,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",,25,,northern
10-Sep-1963,USA,"Spearfishing, pulled sharks tail",M,16,N,northern
15-Jul-1963,USA,Bathing,M,14,N,northern
11-Jul-1963,USA,"Fishing, on charter boat Silver Dollar",M,24,N,northern
18-May-1963,USA,Swimming,M,,,northern
20-Apr-1963,USA,Swimming,M,25,Y,northern
12-Apr-1963,USA,Surfing ,M,15,N,northern
08-Apr-1963,USA,Washed into sea while picking opihi,M,,,northern
04-Feb-1963,USA,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board",M,,,northern
11-Nov-1962,USA,Spearfishing / Scuba diving (at surface),M,24,N,northern
06-Oct-1962,USA,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",F,43,,northern
29-Aug-1962,USA,Diving for abalone,M,39,N,northern
26-Aug-1962,USA,,,,N,northern
19-Aug-1962,USA,Surf fishing in waist-deep water,M,40,Y,northern
12-Aug-1962,USA,Standing,M,24,N,northern
28-Jul-1962,USA,Standing,M,21,N,northern
19-Jul-1962,USA,Fishing for albacore,M,19,N,northern
10-Jul-1962,USA,Playing in surf with his child  (9),M,41,N,northern
07-Jul-1962,USA,Dived from inner-tube,M,13,N,northern
25-Jun-1962,USA,U.S. Airforce crewman reported missing after bailing out of jet,M,,,northern
17-Jun-1962,USA,Rolled off raft,M,11,N,northern
11-Jun-1962,USA,Escaping from Alacatraz,M,31,N,northern
11-Jun-1962,USA,Escaping from Alacatraz,M,32,Y,northern
11-Jun-1962,USA,Escaping from Alacatraz,M,35,Y,northern
10-Jun-1962,USA,Standing,M,13,N,northern
04-Jun-1962,USA,"Scuba diving, attempting to catch a captive shark",M,55,N,northern
03-Jun-1962,USA,Free diving,M,31,N,northern
29-May-1962,USA,,M,17,N,northern
12-May-1962,USA,25-foot cabin cruiser Happy Jack sank in heavy seas,,,Y,northern
14-Jan-1962,USA,Spearfishing / Scuba diving (at surface),M,29,N,northern
09-Oct-1961,USA,Swimming,M,45,,northern
26-Sep-1961,USA,,M,16,N,northern
20-Aug-1961,USA,Swimming,M,16,N,northern
16-Aug-1961,USA,Wading,M,19,N,northern
02-Aug-1961,USA,"Net fishing, picking catch from the net",M,38,N,northern
29-Jul-1961,USA,Spearfishing,M,57,N,northern
24-Jun-1961,USA,Scuba diving & spearfishing ,M,23,Y,northern
18-Jun-1961,USA,Standing,M,25,N,northern
06-Jun-1961,USA,Spearfishing on Scuba,M,,N,northern
21-May-1961,USA,Free diving for abalone,M,20,N,northern
15-May-1961,USA,Walking in chest-deep water,M,52,N,northern
30-Apr-1961,USA,Splashing ,M,10,,northern
16-Apr-1961,USA,Spearfishing,M,22,N,northern
17-Feb-1961,USA,Cleaning a tank,M,30,N,northern
27-Dec-1960,USA,Swept out to sea while net fishing,M,,Y,northern
22-Nov-1960,USA,"Fell overboard, prop slashed arm",F,51,,northern
25-Oct-1960,USA,Ejected from F3H-2 aircraft ,M,36,N,northern
24-Sep-1960,USA,Fishing inside net,M,,N,northern
30-Aug-1960,USA,Swimming 3 miles offshore,M,25,N,northern
25-Aug-1960,USA,Aircraft crashed into sea,M,,,northern
24-Aug-1960,USA,Free diving,M,38,N,northern
22-Aug-1960,USA,,M,14,N,northern
21-Aug-1960,USA,Standing in knee-deep water,M,24,N,northern
10-Aug-1960,USA,Holding shark on leader & dangling it above the water,M,15,N,northern
04-Aug-1960,USA,"Fishing, Struck by another shark when removing shark from line",M,46,N,northern
05-Jul-1960,USA,Pulling raft out to ride to shore,M,17,N,northern
03-Jul-1960,USA,"Fishing, tossing netted shark onboard",M,41,N,northern
29-Jun-1960,USA,Surf fishing,M,,N,northern
24-Jun-1960,USA,Scuba diving,M,39,N,northern
07-Jun-1960,USA,"Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",M,"37, 67, 35, 27,  ? & 27",,northern
04-Jun-1960,USA,Swimming,M,24,N,northern
19-May-1960,USA,Swimming ,F,16,N,northern
16-May-1960,USA,,,,N,northern
24-Apr-1960,USA,Skindiving for abalone (but at surface),M,48,N,northern
31-Mar-1960,USA,Treading water,M,42,N,northern
27-Feb-1960,USA,Spearfishing,M,36,,northern
03-Feb-1960,USA,S2F-1 airplane crashed immediately after carrier take-off,,,,northern
16-Nov-1959,USA,National Airlines DC7B enroute from Miami to Los Angeles with 42 or 46 people on board went down in heavy fog,,,,northern
10-Nov-1959,USA,Swimming at surface through school of feeding 2.5' to 5 sharks,M,21,N,northern
04-Oct-1959,USA,Diving for abalone,M,30,N,northern
26-Sep-1959,USA,"Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",M,30,N,northern
26-Sep-1959,USA,Gigging for flounder,,,UNKNOWN,northern
12-Sep-1959,USA,Pulling hooked salmon to boat,,,N,northern
02-Sep-1959,USA,On inflatable raft,M,,,northern
15-Aug-1959,USA,Diving,M,21,,northern
15-Aug-1959,USA,Spearfishing on Scuba,M,26,Y,northern
14-Aug-1959,USA,Fishing,M,,N,northern
13-Aug-1959,USA,"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ides speargun & he shot it in the mouth",M,32,N,northern
10-Aug-1959,USA,Standing,F,15,N,northern
05-Aug-1959,USA,Wading,M,,,northern
30-Jul-1959,USA,Pulling anchor,,,N,northern
28-Jul-1959,USA,Spearfishing (but on surface),M,25,N,northern
25-Jul-1959,USA,,,21,N,northern
23-Jul-1959,USA,Fishing,,,N,northern
23-Jul-1959,USA,Dragging stranded shark ashore,M,,N,northern
02-Jul-1959,USA,Free diving,M,13,N,northern
14-Jun-1959,USA,Free diving for abalone,M,33,Y,northern
13-Jun-1959,USA,Swimming ,,,,northern
16-May-1959,USA,,F,37,N,northern
07-May-1959,USA,Treading water,M,18,Y,northern
03-May-1959,USA,Spearfishing,M,19,N,northern
09-Apr-1959,USA,Fishing,M,,N,northern
29-Mar-1959,USA,Swimming,M,13,N,northern
13-Dec-1958,USA,Surfing on air mattress,M,15,Y,northern
05-Nov-1958,USA,Fishing,,,N,northern
12-Oct-1958,USA,Swimming near jetty,M,15,N,northern
05-Oct-1958,USA,,M,60,N,northern
01-Sep-1958,USA,Spearfishing,M,20,N,northern
27-Jul-1958,USA,"Swimming, ducking for shells in water 0.9 m deep",M,12,N,northern
27-Jul-1958,USA,"Swimming, ducking for shells in water 0.9 m deep",M,8,N,northern
10-Jul-1958,USA,,M,35,Y,northern
02-Jul-1958,USA,Free diving,M,20,N,northern
26-Jun-1958,USA,Wading,M,59,N,northern
24-Jun-1958,USA,Walking,M,17,N,northern
17-Jun-1958,USA,"Swimming, towing the shark",M,,N,northern
30-Apr-1958,USA,Free diving,M,29,N,northern
01-Feb-1958,USA,Spearfishing on Scuba,M,18,N,northern
24-Jul-1957,USA,Spearfishing on Scuba,M,,N,northern
15-Jul-1957,USA,Swimming,M,57,Y,northern
28-Apr-1957,USA,Swimming,M,25,Y,northern
22-Apr-1957,USA,Standing,M,17,N,northern
05-Feb-1957,USA,Floating,M,,N,northern
23-Sep-1956,USA,Surf fishing,M,27,N,northern
15-Aug-1956,USA,Skin diving,M,13,Y,northern
15-Aug-1956,USA,Swimming near pier,M,10,N,northern
28-Jul-1956,USA,Floating in inner tube,M,13,Y,northern
26-Jul-1956,USA,Fishing,M,38,N,northern
17-Jul-1956,USA,Wading,F,38,N,northern
12-Jul-1956,USA,Swimming,M,7,N,northern
11-Dec-1955,USA,Fishing for pompano,,,N,northern
20-Sep-1955,USA,Hunting turtle,M,,N,northern
04-Sep-1955,USA,Swimming near breakwater,M,16,N,northern
03-Sep-1955,USA,,M,,N,northern
30-Aug-1955,USA,Surfing,M,25,N,northern
04-Aug-1955,USA,Fishing,M,,N,northern
23-Jun-1955,USA,Wading,M,13,N,northern
08-May-1955,USA,Spearfishing,M,28,N,northern
10-Feb-1955,USA,Scuba diving,M,,N,northern
06-Feb-1955,USA,Spearfishing,M,19,N,northern
20-Nov-1954,USA,Spearfishing,M,,N,northern
07-Oct-1954,USA,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",M,,Y,northern
21-Sep-1954,USA,Swimming,M,35,N,northern
04-Jul-1954,USA,,,,N,northern
29-Jun-1954,USA,Grabbed shark & threw it on deck,M,35,N,northern
08-Apr-1954,USA,Fishing from shore,M,,,northern
20-Sep-1953,USA,Scuba diving,M,,N,northern
18-Sep-1953,USA,Aircaft exploded,M,,N,northern
03-Sep-1953,USA,Surf fishing,M,15,N,northern
02-Sep-1953,USA,Crabbing,M,,N,northern
26-Jul-1953,USA,Spearfishing,M,15,Y,northern
16-Jul-1953,USA,Fishing from market fishboat Sea Spray,M,,N,northern
15-Jul-1953,USA,Standing,F,26,N,northern
04-Jul-1953,USA,Accidentally dragged overboard from the sampan Holokahana into school of yellowfin tuna,M,,N,northern
04-Apr-1953,USA,Swimming,F,19,N,northern
18-Feb-1953,USA,Bitten while cutting shark from net,M,,N,northern
03-Aug-1952,USA,Swimming,M,,Y,northern
7-Dec-1952,USA,Body surfing & treading water,M,17,Y,northern
03-Dec-1952,USA,Swimming from fishing boat setting nets,M,40,Y,northern
27-Jul-1952,USA,Fishing for trout ,,,N,northern
27-Jul-1952,USA,Fishing,M, 43,N,northern
27-Jul-1952,USA,Fishing,M,34,N,northern
27-Jul-1952,USA,Boat exploded,M,,Y,northern
13-Jul-1952,USA,Fishing,M,34,N,northern
05-Jul-1952,USA,"Spearfishing, carrying fish on spear",M,,N,northern
27-May-1952,USA,Swimming on surface,M,,N,northern
19-Jul-1951,USA,,M,13,N,northern
25-Jun-1951,USA,Swept out to sea while fishing,M,,Y,northern
28-Oct-1950,USA,Body surfing / treading water,M,31,N,northern
10-Jul-1950,USA,Swimming,M,11,N,northern
09-Jul-1950,USA,,M,,,northern
25-Jun-1950,USA,Swimming ,M,16,N,northern
06-Jun-1950,USA,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA ,M,25,Y,northern
16-Jan-1950,USA,"Fishing, one of three fishermen swept into the sea by a large wave ",M,,,northern
25-Jul-1949,USA,Floating on his back,M,16,N,northern
16-Jul-1949,USA,Fishing,M,16,N,northern
19-Sep-1948,USA,Swimming,M,,N,northern
19-Sep-1948,USA,Fishing,M,,N,northern
01-Jul-1948,USA,Swimming,M,46,Y,northern
13-Feb-1948,USA,"C47 aircraft carrying 5,000 lbs of ice ditched in the sea",M,,Y,northern
04-Aug-1947,USA,Swimming,M,20,Y,northern
27-Jul-1947,USA,Fishing,M,46,N,northern
27-Jun-1947,USA,Fishing,M,35,N,northern
06-Aug-1945,USA,,,,Y,northern
08-May-1945,USA,Swimming,M,,Y,northern
02-Dec-1944,USA,Fishing for mackerel,,,N,northern
03-Sep-1944,USA,Swimming,M,13,N,northern
31-May-1944,USA,Bathing,F,15,N,northern
04-Dec-1943,USA,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,M,,Y,northern
26-Oct-1943,USA,,M,,,northern
18-Jul-1943,USA,Treading water after survivng crash of the US Navy airship K-74 that was hit by the German submarine U-134,M,,Y,northern
5-Apr-1943,USA,"Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",M,,,northern
04-Jun-1942,USA,"Plane crashed in water, men in life raft",M,,N,northern
21-Aug-1941,USA,Fishing,,,N,northern
01-Aug-1941,USA,Swimming at edge of channel,M,20,N,northern
22-Jul-1941,USA,Fishing for tuna,,,N,northern
01-Jul-1941,USA,Fishing,M,,N,northern
15-Jun-1941,USA,Fishing from 32' boat,M,43,N,northern
09-Mar-1941,USA,Fishing,M,53,N,northern
13-Jul-1940,USA,Standing,M,,N,northern
13-Jul-1940,USA,Standing ,M,,N,northern
30-Jun-1940,USA,Fishing,M,,N,northern
04-Oct-1939,USA,Spearfishing & had just speared a ulua,M,,N,northern
01-Aug-1939,USA,Fishing,M,33,N,northern
14-Jul-1939,USA,Seine netting,M,,N,northern
03-May-1939,USA,Washed off freighter Huncliff by a freak wave,M,,Y,northern
18-Aug-1938,USA,Fishing,M,,N,northern
18-Jul-1938,USA,Swimming,M,,N,northern
17-Jul-1938,USA,"Fishing, removing gaff from shark's mouth",M,27,N,northern
13-Nov-1937,USA,"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather",M,,Y,northern
15-Jun-1937,USA,Swimming,M,14,Y,northern
30-May-1937,USA,Fishing,M,,N,northern
30-Dec-1936,USA,"Diving, attempting to retrieve body of drowning victim wedged between rocks",M,,N,northern
04-Sep-1936,USA,Swimming,M,,N,northern
25-Jul-1936,USA,Swimming crawl stroke,M,16,Y,northern
12-Jul-1936,USA,Fishing for bluefish,,,N,northern
06-Jun-1936,USA,Swimming,M,,Y,northern
30-Mar-1936,USA,Fishing,M,,N,northern
21-Sep-1935,USA,Swimming,M,38,Y,northern
27-Jul-1935,USA,fishing boat exploded & sank,M,23,,northern
27-Jul-1935,USA,fishing boat exploded & sank,M,53,,northern
18-Jun-1935,USA,"Fishing for bluefish, shark leapt into dory",M,31,N,northern
08-Apr-1935,USA,,M,,N,northern
05-Aug-1934,USA,Swimming,M,11,N,northern
20-Jun-1934,USA,Standing,M,8,Y,northern
28-Aug-1933,USA,"Fishing, caught a 15' shark & took it onboard",M,,N,northern
28-Aug-1933,USA,Bathing,M,,N,northern
26-Aug-1933,USA,Swimming,F,,N,northern
07-Jul-1933,USA,,M,50,N,northern
21-Jun-1933,USA,Sitting in 3' of water,M,15,N,northern
16-Jun-1933,USA,Standing,F,,N,northern
10-Apr-1933,USA,Swimming,M,24,Y,northern
10-Aug-1932,USA,Fishing,M,,N,northern
14-Jul-1932,USA,,M,17,,northern
28-Jun-1932,USA,Fishing,M,32,N,northern
26-Jun-1932,USA,Fishing,M,,N,northern
16-Feb-1932,USA,Swimming,M,,N,northern
21-Sep-1931,USA,Swimming,M,,N,northern
21-Sep-1931,USA,Swimming ,F,20,N,northern
02-Sep-1931,USA,Fishing,M,,,northern
30-Aug-1931,USA,,M,,,northern
27-Aug-1931,USA,Fishing for bluefish,,,N,northern
18-Aug-1931,USA,Swimming,M,,N,northern
06-Aug-1931,USA,Swimming,M,,N,northern
15-Jul-1931,USA,Swimming,M,,N,northern
14-Jun-1931,USA,"Fishing, had just speared a ulua",M,,N,northern
13-Jun-1931,USA,Gaffing & attempting to bring onboard a harpooned shark,M,,N,northern
04-Jun-1931,USA,Crabbing,M,,N,northern
06-Aug-1930,USA,Swimming,M,,N,northern
11-Jul-1930,USA,Swimming,M,21,N,northern
27-May-1930,USA,Swimming / floating,M,,N,northern
07-Mar-1930,USA,Sponge diving,M,,N,northern
05-Aug-1929,USA,Bathing,M,,N,northern
23-Jun-1929,USA,Fishing,M,,N,northern
16-Mar-1929,USA,Swimming,M,26,N,northern
18-Nov-1928,USA,Fishing,M,,N,northern
12-Nov-1928,USA,"Sea Disaster, sinking of the  SS Vestris",M,,Y,northern
24-Aug-1928,USA,,M,,,northern
24-Jun-1928,USA,Swimming,M,,N,northern
21-Jan-1928,USA,Swimming,,,,northern
08-Jan-192821-Jan-1928,USA,Jumped overboard and swimming,M,,,northern
08-Jan-1927,USA,Swimming,M,,N,northern
24-Aug-1926,USA,Swimming,M,18,Y,northern
12-Jul-1926,USA,Fishing,M,,N,northern
08-Jul-1926,USA,Swimming with dog near canning factory,M,15,N,northern
18-May-1926,USA,Swimming,M,,Y,northern
07-Apr-1926,USA,Swimming,F,,N,northern
02-Aug-1925,USA,Swimming,F,,N,northern
27-Jan-1925,USA,Swimming,M,,N,northern
21-Nov-1924,USA,Bathing,M,35,Y,northern
31-Jul-1924,USA,Standing,M,,N,northern
04-Jul-1924,USA,Fishing,M,?    &   14,N,northern
18-Jun-1924,USA,Removing shark from a net,M,,N,northern
14-Dec-1922,USA,Bathing,F,,Y,northern
28-Sep-1922,USA,"Freediving, inspecting Kaunakakai wharf construction after blasting & dredging ",M,,N,northern
21-Sep-1922,USA,Fishing,,,N,northern
19-Jul-1922,USA,,M,,N,northern
17-Jun-1922,USA,Floating,F,18,Y,northern
14-Jul-1920,USA,Swimming ,M,30,,northern
29-Jun-1920,USA,Swimming ,M,13,N,northern
10-Aug-1919,USA,Swimming,M,,N,northern
29-May-1919,USA,"""Swimming vigorously""",M,,N,northern
06-Apr-1919,USA,Knocked into the water,M,,Y,northern
21-Sep-1917,USA,"Swimming, towing an empty barrel",M,,N,northern
09-Sep-1917,USA,Stuffing a shark into an automobile,M,,N,northern
18-Jul-1917,USA,Diving,M,,Y,northern
03-Jun-1917,USA,Swimming beside launch,M,,N,northern
11-Oct-1916,USA,"Fishing, attempted to take a netted shark",M,,Y,northern
24-Aug-1916,USA,Netting shrimp,M,,N,northern
26-Jul-1916,USA,Fishing,M,,N,northern
13-Jul-1916,USA,Swimming,F,,,northern
13-Jul-1916,USA,Swimming,M,,N,northern
12-Jul-1916,USA,Swimming,M,12,N,northern
12-Jul-1916,USA,Swimming (recovering remains of Stilwell) ,M,24,Y,northern
12-Jul-1916,USA,Swimming,M,10,Y,northern
06-Jul-1916,USA,Swimming,M,,Y,northern
01-Jul-1916,USA,Swimming,M,24,Y,northern
30-Jun-1916,USA,Swimming,M,10 or 12,N,northern
23-Jun-1916,USA,,M,26,N,northern
03-Aug-1915,USA,,M,,N,northern
09-Sep-1914,USA,Swimming,M,17,Y,northern
09-Jul-1914,USA,Fishing,M,,N,northern
14-May-1914,USA,Fishing,F,,N,northern
14-Mar-1914,USA,Swimming,M,,,northern
03-Mar-1914,USA,Washed into sea while picking opihi & attacked by 2 large sharks ,M,,Y,northern
30-Dec-1913,USA,Fishing for mackerel,,,N,northern
21-Sep-1913,USA,,M,,N,northern
27-Aug-1913,USA,,M,,,northern
27-Aug-1913,USA,,F,,,northern
21-May-1913,USA,Fishing,M,,N,northern
30-Aug-1912,USA,Swimming,M,12,Y,northern
23-Jul-1912,USA,Swimming,M,,N,northern
08-Nov-1911,USA,,M,,,northern
26-Oct-1911,USA,Fell overboard from steamship Rio Grande,M,,Y,northern
23-Sep-1911,USA,Jumped overboard to rescue companion,M,,Y,northern
20-Sep-1911,USA,Fell overboard & swimming,M,,Y,northern
17-Sep-1911,USA,Bathing,M,,N,northern
16-Jul-1911,USA,Fishing,M,,N,northern
01-May-1911,USA,Fishing,M,,N,northern
16-May-1910,USA,"Unknown, their unoccupied yawlboat was recovered",M,,,northern
26-Nov-1909,USA,,M,,N,northern
04-Sep-1909,USA,Seine netting,M,,N,northern
13-Aug-1909,USA,Fell overboard from fishing schooner Halycon,M,,Y,northern
24-Jul-1909,USA,Fell overboard while fishing for sharks,M,,N,northern
15-Jul-1909,USA,Swimming,M,16,N,northern
10-Apr-1909,USA,Reported swept away by waves while gathering opihi,F,19,,northern
05-Sep-1908,USA,On fishing boat & trailing hand in the water,M,,N,northern
08-Jun-1908,USA,The British steamer Caribbee foundered,M,,Y,northern
10-May-1908,USA,,M,,,northern
08-Jan-1908,USA,Gathering fish stunned by dynamite,M,,Y,northern
08-Oct-1907,USA,"Diving, retrieving fish caught in net ",M,,N,northern
08-Aug-1907,USA,Wading,M,,N,northern
26-Mar-1907,USA,"Fishing,  tarpon being chased by shark  leapt across his skiff, breaking it in half & Larkin became tangled in the net",M,,Y,northern
10-Oct-1906,USA,,M,,N,northern
10-Oct-1906,USA,Swimming,M,,Y,northern
10-Oct-1906,USA,Diving,M,,N,northern
10-Oct-1906,USA,Swimming,M,,Y,northern
04-Aug-1906,USA,Fell overboard,M,,Y,northern
05-Jul-1906,USA,Swimming,M,,Y,northern
06-Sep-1905,USA,Fishing,M,,N,northern
29-Jul-1905,USA,Wading,M,16,Y,northern
22-May-1905,USA,Swimming,M,,N,northern
28-Jul-1904,USA,Sailing,M,,N,northern
27-Jul-1904,USA,Swimming,M,,Y,northern
16-Sep-1903,USA,Fishing,M,,N,northern
01-Nov-1902,USA,Fishing,M,,N,northern
08-Aug-1902,USA,Catching crabs,M,,Y,northern
06-Jul-1902,USA,Swimming,M,,N,northern
13-Sep-1900,USA,Diving,M,,UNKNOWN,northern
05-Sep-1900,USA,Floating,M,,N,northern
21-Aug-1900,USA,Bathing,M,,N,northern
14-Jul-1900,USA,Hunting seashells,M,,,northern
23-Aug-1899,USA,Hunting sharks,M,,Y,northern
